Name,Artist,Album,Seed,Seed Group,Plays,Genre
Step Off My Flower Bed,Nase,"OC ReMix, Secret of Mana",1,0,98,Game
Forever Until Tomorrow,"Star Salzman, Paul Baxter","OC ReMix, Chrono Trigger",2,0,63,Game
Great Job!,"Insert Rupee (Ben Briggs, halc)","OC ReMix, Zelda 03: A Link to the Past",3,0,61,Game
Dalmatian Station,Jake Kaufman,Mighty Switch Force! 2 OST,4,0,67,Game
Fleeting Ecstasy,Ben Briggs,"OC ReMix, Super Mario 64",5,0,134,Game
Main Theme,Koji Kondo,Super Mario 64 OST,6,0,117,Game
Burning Up,DJ Redlight,"OC ReMix, Dr. Mario",7,0,114,Game
Aesop Rock - No Jumpercables (Goron Village),Team Teamwork,The Ocarina of Rhyme,8,0,111,Hip-Hop
Inspector Strago,AeroZ,"OC ReMix, Final Fantasy VI",9,0,109,Game
Crash / Restore (Emotions),Ziwtra,"OC ReMix, Xenogears: Gears",10,0,109,Game
First Time on Outset,halc,"OC ReMix, Zelda 08: Wind Waker",11,0,104,Game
Chrono Moonstone,"LSD, Shnabubula","OC ReMix, Chrono Trigger",12,0,81,Game
Airships Make Me Happy (The Highwind Takes to the Skies),Star Salzman,"OC ReMix, FFVII: Voices of the Lifestream - Order",13,0,74,Game
Lullaby Set,"Pam Swan, Shira Kammen",Braid OST,14,0,71,Game
BGM I,"Tim Follin, Geoff Follin",Silver Surfer OST,15,0,71,Game
I've Got 5 Skateboards Right Here,norg,"OC ReMix, Skate or Die",16,0,70,Game
Koopa Vs. Kefka [Super Mario World/Final Fantasy VI],Dhsu,"Bad Dudes, Bad Dudes EP",17,0,67,Game
BadAzz [Sephiroth (Final Fantasy VII)],PrototypeRaptor,"OC ReMix, BadAss: Boss Themes",18,0,63,Game
BGM II,"Tim Follin, Geoff Follin",Silver Surfer OST,19,0,60,Game
The Unbroken,Nutritious,"OC ReMix, Cave Story",20,0,59,Game
Staff Credits Redux,Zelda Reorchestrated,The Wind Waker,21,0,56,Game
Title (Double Dragon),Shnabubula,NES JAMS,22,0,52,Game
Title Screen,"Yoshito Hirano, Yuka Tsujiyoko",Paper Mario: The Thousand-Year Door OST,23,0,51,Game
Staff Roll,Katsuya Yamano,Teleroboxer OST,24,0,51,Game
Mind Over Antimatter,Parallelis,Intergalactic Dancefloor,25,0,50,Chiptune
Full Mast,"Preenus (SnappleMan, Jake Kaufman)","OC ReMix, Zelda 08: Wind Waker",26,0,50,Game
Chaos Nightmares,PrototypeRaptor,"OC ReMix, Sonic Adventure",27,0,48,Game
Dat Disjointed Chemical,Air3s,"OC ReMix, Sonic the Hedgehog 2",28,0,47,Game
"Outskirts of Time (Chrono Trigger, livetune remix)",livetune,Love SQ,29,0,46,Game
A New Day,Danimal Cannon,Roots,30,0,46,Chiptune
Tears of Blood (Castlevania II: Simon's Quest - Bloody Tears),Joshua Morse,VLAD,31,0,46,Game
There's Nothing Like Flying (Blackjack),DDRKirby(ISQ),"OC ReMix, FFVI: Balance and Ruin",32,0,44,Game
Mount Gulug,ajiponn,Final Fantasy IX Chips,33,0,42,Game
Cowabunga! (Technodrome ~ Let's Kick Shell! [Stage 4 BGM]),"WillRock, Juan Medrano","OC ReMix, TMNT: Shell Shocked",34,0,41,Game
Jungle,Jeroen Tel,Rhino Rumble OST,35,0,39,Game
Somebody Set Up Us the Bob-omb (Super Mario 64 Main Theme),Theory of N,"OC ReMix, Super Mario 64: Portrait of a Plumber",36,0,35,Game
TornadosaurusRex,PrototypeRaptor,"OC ReMix, Mega Man 9",37,0,33,Game
Windborne,Rozovian,"OC ReMix, Zelda 17: Breath of the Wild",38,0,32,Game
Kokiri Forest Jig (The Legend of Zelda: Ocarina of Time),"Josh Barron, The Travelers",Tribute Album 64,39,0,32,Game
Deku Palace,Theophany,Time's End II: Majora's Mask Remixed,40,0,30,Game
Gerudo Town - Day,"Manaka Kataoka, Yasuaki Iwata",The Legend of Zelda: Breath of the Wild OST,41,0,29,Game
